Os nossos pais amam-nos porque somos seus filhos, é um fato inalterável. Nos momentos de sucesso, isso pode parecer irrelevante, mas nas ocasiões de fracasso, oferecem um consolo e uma segurança que não se encontram em qualquer outro lugar.; (Bertrand Russell)
Quando um homem se dá conta de que seu pai talvez tinha razão, normalmente já tem um filho que crê que ele esteja equivocado. ; (Charles Wadsworth)
Que riqueza não é, até entre os pobres, ser filho de um bom pai.; (Juan Luis Vives)
Coragem é resistência ao medo, domínio do medo, e não ausência do medo.; (Mark Twain)
Podemos facilmente perdoar uma criança que tem medo do escuro; a real tragédia da vida é quando os homens têm medo da luz.; (Platão)
A glória da amizade não é a mão estendida, nem o sorriso carinhoso, nem mesmo a delícia da companhia. É a inspiração espiritual que vem quando você descobre que alguém acredita e confia em você.; (Ralph Waldo Emerson)
O que as grandes e puras afeições têm de bom é que, depois da felicidade de as ter sentido, há ainda a felicidade de recordá-las.; (Alexandre Dumas Filho)
Adote o hábito de dizer algo amável ao pronunciar as primeiras palavras pela manhã. Isso estabelecerá sua disposição mental e emocional para todo o dia.; (Norman Vincent Peale)
Em todos os seus sonhos mais belos o homem nunca soube inventar coisa mais bela do que a natureza.; (Alphonse de Lamartine)
Você vê coisas e diz: Por quê? Mas eu sonho coisas que nunca existiram e digo: Por que não?; (Bernard Shaw)
Apenas quando se aprende a ouvir o coração das pessoas, seus sentimentos mudos, os medos não confessados e as queixas silenciosas, um líder pode inspirar confiança.; (Parábola Chinesa)
Nunca fales dos limites do conhecimento do ser humano, mas apenas dos seus limites.; (Rudolf Steiner)
O que vale na vida não é o ponto de partida e sim a caminhada. Caminhando e semeando, no fim terás o que colher.; (Cora Coralina)
Ama a verdade, mas perdoa o erro.; (Voltaire)
Aquele que luta com monstros deve acautelar-se; para não tornar-se também um monstro. Quando se olha muito tempo para um abismo, o abismo olha para você.; (Friedrich Wilhelm Nietzsche)
Os membros de uma equipe vencedora lutam contra seus concorrentes. Os membros de uma equipe perdedora lutam entre si.; (J.M.Juran)
